City_ID,City,Country,Lat,Lng,Max Temp,% Humidity,% Cloudiness,Wind Speed,Current Description
184,La Joya,MX,18.67,-99.47,90.0,65,75,3.36,broken clouds
185,Buraydah,SA,26.33,43.98,96.8,20,48,11.41,scattered clouds
186,Kahului,US,20.89,-156.47,84.2,62,40,17.22,scattered clouds
187,Gimli,CA,50.63,-96.99,70.0,99,100,8.99,light rain
188,Anadyr,RU,64.75,177.48,51.8,93,75,11.18,broken clouds
189,Lelydorp,SR,5.7,-55.23,93.2,70,20,11.41,few clouds
190,Sagarejo,GE,41.73,45.33,66.2,77,100,13.87,overcast clouds
191,Tabou,CI,4.42,-7.35,75.74,89,61,10.4,light rain
192,Peterhead,GB,57.51,-1.8,59.0,82,75,6.93,broken clouds
193,Gondanglegi,ID,-7.75,112.01,74.39,85,0,10.11,clear sky
194,Codrington,AU,-38.27,141.97,46.83,81,34,16.42,light rain
195,Upington,ZA,-28.45,21.26,59.0,19,0,9.17,clear sky
196,Creel,MX,27.75,-107.63,72.52,44,66,5.97,broken clouds
197,Ancud,CL,-41.87,-73.82,52.0,81,20,18.34,few clouds
198,Dire,ML,12.28,-10.97,75.38,93,100,2.44,moderate rain
199,Praia Da Vitoria,PT,38.73,-27.07,75.2,73,20,4.23,few clouds
200,Alexandria,EG,31.22,29.96,80.6,78,0,5.82,clear sky
201,Little Current,CA,45.98,-81.92,75.2,73,90,5.82,overcast clouds
202,Changde,CN,29.05,111.68,75.04,94,4,1.21,clear sky
203,Yeppoon,AU,-23.13,150.73,57.2,30,0,6.93,clear sky
204,Chuy,UY,-33.7,-53.46,50.41,64,0,5.5,clear sky
205,Broken Hill,AU,-31.95,141.43,41.0,80,3,11.41,clear sky
206,Genhe,CN,50.78,121.52,54.43,92,100,3.22,overcast clouds
207,Jacmel,HT,18.23,-72.53,89.6,66,20,13.87,few clouds
208,Talnakh,RU,69.49,88.4,57.2,62,41,11.18,scattered clouds
209,Bireun,ID,5.2,96.7,76.73,83,93,4.25,light rain
210,Castro,BR,-24.79,-50.01,48.2,84,20,6.2,few clouds
211,Paamiut,GL,61.99,-49.67,43.41,94,46,9.93,scattered clouds
212,Lasa,IT,46.62,10.7,60.01,100,5,4.7,clear sky
213,Sisimiut,GL,66.94,-53.67,51.37,68,74,8.25,broken clouds
214,Itoman,JP,26.12,127.67,78.8,94,75,5.82,shower rain
215,Nuevitas,CU,21.55,-77.26,87.8,70,75,5.82,broken clouds
216,Port Blair,IN,11.67,92.75,82.15,79,100,10.76,overcast clouds
217,Urumqi,CN,43.8,87.6,73.4,33,67,11.18,broken clouds
218,Harur,IN,12.07,78.5,78.73,76,99,1.79,light rain
219,Kaitangata,NZ,-46.28,169.85,51.01,73,61,5.99,broken clouds
220,Cockburn Town,TC,21.46,-71.14,84.11,81,75,24.25,light rain
221,Ayan,RU,56.45,138.17,56.62,59,47,10.2,scattered clouds
222,Constitucion,CL,-35.33,-72.42,56.19,84,2,13.11,clear sky
223,Newport,GB,51.59,-3.0,63.0,92,66,3.0,light rain
224,Arcachon,FR,44.59,-1.05,66.2,88,30,4.12,scattered clouds
225,Severo-Kurilsk,RU,50.68,156.12,51.3,85,44,12.15,scattered clouds
226,Goderich,CA,43.75,-81.72,80.01,87,12,3.29,few clouds
227,Bonavista,CA,48.65,-53.11,64.0,77,18,3.0,few clouds
228,Crib Point,AU,-38.35,145.2,46.99,88,97,19.55,light rain
229,Amapa,BR,1.0,-52.0,87.04,56,64,2.44,broken clouds
230,Vila Franca Do Campo,PT,37.72,-25.43,73.4,88,20,4.7,few clouds
231,Pacific Grove,US,36.62,-121.92,68.0,64,75,5.82,haze
232,Kokkola,FI,63.84,23.13,64.4,93,75,13.87,shower rain
233,Nerchinskiy Zavod,RU,51.31,119.61,53.49,94,100,4.07,light rain
234,Udachnyy,RU,66.42,112.4,42.8,75,0,6.71,clear sky
235,Hualmay,PE,-11.1,-77.61,64.96,70,16,9.22,few clouds
236,Maceio,BR,-9.67,-35.74,78.8,74,20,4.7,few clouds
237,Tatawin,TN,32.93,10.45,89.6,24,0,4.7,clear sky
238,Saldanha,ZA,-33.01,17.94,50.0,87,0,4.7,clear sky
239,Anito,PH,12.45,125.29,78.71,88,99,4.03,light rain
240,Boo,SE,59.33,18.28,66.99,72,54,5.82,broken clouds
241,Joshimath,IN,30.57,79.57,65.59,57,47,1.01,light rain
242,Kasongo-Lunda,CD,-6.47,16.82,76.35,76,83,0.43,moderate rain
243,Slavyanka,RU,42.86,131.38,65.08,89,97,1.97,overcast clouds
244,Pevek,RU,69.7,170.31,38.21,98,100,4.52,light rain
245,Rioja,AR,-29.41,-66.85,62.56,27,0,1.21,clear sky
246,Bexhill,AU,-28.77,153.35,51.8,40,0,9.17,clear sky
247,Victoria,HK,22.29,114.16,82.0,78,13,1.99,few clouds
248,Makakilo City,US,21.35,-158.09,86.0,48,20,10.29,few clouds
249,Caiaponia,BR,-16.96,-51.81,68.92,56,25,8.63,scattered clouds
250,Whitefish,US,48.41,-114.34,82.4,20,1,11.41,clear sky
251,Barentu,ER,15.11,37.59,72.91,83,77,5.48,broken clouds
252,Sylvan Lake,CA,52.32,-114.09,69.8,43,20,13.87,few clouds
253,Nakamura,JP,32.98,132.93,75.43,88,81,2.15,broken clouds
254,Umba,RU,66.69,34.34,60.42,79,94,9.62,overcast clouds
255,Morgantown,US,39.63,-79.96,89.01,48,75,4.7,broken clouds
256,Tecoanapa,MX,16.52,-98.75,86.16,66,28,9.35,scattered clouds
257,Baykit,RU,61.67,96.37,57.54,87,100,0.78,light rain
258,Seoul,KR,37.57,126.98,71.6,94,75,2.01,broken clouds
259,Deputatskiy,RU,69.3,139.9,31.86,98,96,1.16,overcast clouds
260,Jalu,LY,29.03,21.55,81.82,49,0,16.17,clear sky
261,Tessalit,ML,20.2,1.01,98.78,17,91,7.58,overcast clouds
262,Zvishavane,ZW,-20.33,30.07,52.16,77,7,3.83,clear sky
263,Kualakapuas,ID,-3.01,114.39,75.2,100,28,1.12,scattered clouds
264,Kenora,CA,49.82,-94.43,78.8,69,90,11.41,shower rain
265,Lavrentiya,RU,65.58,-171.0,46.42,95,100,6.85,light rain
266,Aguimes,ES,27.91,-15.45,86.0,35,0,26.4,clear sky
267,Saint-Jean-De-Luz,FR,43.39,-1.66,71.6,73,75,2.24,broken clouds
268,Cayenne,GF,4.93,-52.33,87.8,58,4,1.12,clear sky
269,Nizhniy Kuranakh,RU,58.84,125.49,44.42,84,37,1.41,scattered clouds
270,Kudahuvadhoo,MV,2.67,72.89,84.0,69,53,7.61,broken clouds
271,Sur,OM,22.57,59.53,81.5,74,100,10.76,overcast clouds
272,Vardo,NO,70.37,31.11,58.95,81,85,18.75,overcast clouds
273,Maracacume,BR,-2.04,-45.96,78.39,85,4,5.5,light rain
274,Presidencia Roque Saenz Pena,AR,-26.79,-60.44,63.91,31,0,6.04,clear sky
275,Nanortalik,GL,60.14,-45.24,47.62,70,8,2.46,clear sky
276,Soe,ID,-9.86,124.28,62.11,69,0,4.94,clear sky
277,Terme,TR,41.21,36.97,73.4,78,20,5.82,few clouds
278,Natal,BR,-5.79,-35.21,78.8,78,40,14.99,scattered clouds
279,Coos Bay,US,43.37,-124.22,80.01,72,1,19.46,clear sky
280,Manggar,ID,-2.88,108.27,80.55,84,92,10.38,overcast clouds
281,Mercedes,AR,-34.65,-59.43,62.01,28,0,3.0,clear sky
282,Hofn,IS,64.25,-15.21,50.22,73,55,3.85,broken clouds
283,Jiexiu,CN,37.02,111.91,69.31,74,81,3.02,broken clouds
284,Asau,RO,46.43,26.4,61.0,92,0,2.59,clear sky
285,Aron,IN,24.38,77.42,74.59,95,100,14.79,overcast clouds
286,Port Augusta,AU,-32.5,137.77,42.01,93,67,5.82,broken clouds
287,General Roca,AR,-39.03,-67.58,71.6,26,0,2.24,clear sky
288,Coquimbo,CL,-29.95,-71.34,51.8,87,90,8.05,overcast clouds
289,Souillac,MU,-20.52,57.52,71.6,73,40,11.41,scattered clouds
290,Salinopolis,BR,-0.61,-47.36,80.78,80,0,11.99,clear sky
291,Amarante Do Maranhao,BR,-5.57,-46.74,88.39,31,73,1.83,broken clouds
292,Barstow,US,34.9,-117.02,104.0,19,1,5.82,clear sky
293,Sao Jose Da Coroa Grande,BR,-8.9,-35.15,74.53,85,20,8.08,light rain
294,Kruisfontein,ZA,-34.0,24.73,52.12,91,0,6.4,clear sky
295,Limon,CR,10.0,-83.03,86.0,70,41,8.05,light rain
296,Chrzanow,PL,50.14,19.4,66.0,91,97,1.01,light rain
297,Dmitriyevka,RU,54.75,55.33,53.6,93,90,4.47,mist
298,Zyryanka,RU,65.75,150.85,38.57,82,100,12.35,overcast clouds
299,Puerto Quijarro,BO,-17.78,-57.77,65.91,36,52,4.83,broken clouds
300,Valleyview,CA,55.07,-117.29,68.14,38,77,16.37,broken clouds
301,Syasstroy,RU,60.14,32.57,62.06,74,85,11.99,overcast clouds
302,Beisfjord,NO,68.38,17.6,59.0,100,100,9.17,light rain
303,Asasa,ET,7.1,39.2,54.5,82,100,1.3,overcast clouds
304,Sao Filipe,CV,14.9,-24.5,79.18,79,30,1.72,scattered clouds
305,Juneau,US,58.3,-134.42,59.0,87,90,5.82,overcast clouds
306,Ayni,TJ,39.39,68.54,69.44,24,0,3.83,clear sky
307,Amahai,ID,-3.33,128.92,76.06,85,59,4.41,light rain
308,Loandjili,CG,-4.76,11.86,75.2,83,75,1.12,broken clouds
309,Pemangkat,ID,1.17,108.97,78.15,86,100,4.05,moderate rain
310,Eydhafushi,MV,5.1,73.07,83.88,65,0,3.91,clear sky
311,Timbiqui,CO,2.77,-77.67,79.38,83,95,9.19,light rain
312,Vrangel,RU,42.73,133.08,63.07,76,4,3.96,clear sky
313,Formosa,AR,-26.18,-58.18,69.8,28,0,10.29,clear sky
314,Lorengau,PG,-2.02,147.27,80.83,78,74,1.39,broken clouds
315,Rosarito,MX,32.33,-117.03,87.8,55,1,13.87,clear sky
316,Tokoroa,NZ,-38.23,175.87,55.0,88,90,3.85,light rain
317,Simpang,ID,-1.27,104.08,75.67,90,98,3.31,overcast clouds
318,Ahuimanu,US,21.44,-157.84,86.0,62,1,10.29,clear sky
319,Berlevag,NO,70.86,29.09,59.94,75,74,18.68,broken clouds
320,Muisne,EC,0.6,-80.03,80.6,78,75,10.29,broken clouds
321,Bengkulu,ID,-3.8,102.27,75.38,88,53,4.38,broken clouds
322,Picos,BR,-7.08,-41.47,88.27,24,1,4.72,clear sky
323,Igarka,RU,67.47,86.58,54.45,79,100,6.22,overcast clouds
324,Tacarigua,VE,10.09,-67.92,76.66,85,78,4.99,moderate rain
325,San Jose,US,37.34,-121.89,93.99,35,75,8.05,smoke
326,Gushikawa,JP,26.35,127.87,78.8,94,1,4.7,light rain
327,Kuusamo,FI,65.97,29.18,60.8,82,90,14.99,overcast clouds
328,Male,MV,4.17,73.51,84.2,79,20,3.36,few clouds
329,Verkhnevilyuysk,RU,63.45,120.32,38.62,80,0,2.64,clear sky
330,Vitoria Da Conquista,BR,-14.87,-40.84,66.04,87,31,10.42,scattered clouds
331,Avera,US,33.19,-82.53,80.6,88,75,4.7,broken clouds
332,Channel-Port Aux Basques,CA,47.57,-59.14,62.92,71,0,12.59,clear sky
333,Birao,CF,10.28,22.79,72.75,94,65,5.53,light rain
334,Bewar,IN,27.22,79.3,79.05,85,8,10.18,clear sky
335,Lerwick,GB,60.15,-1.15,53.6,100,90,6.93,overcast clouds
336,Vestmannaeyjar,IS,63.44,-20.27,52.32,76,15,4.76,few clouds
337,Puerto Escondido,MX,15.85,-97.07,86.0,66,75,7.07,broken clouds
338,Tashigang,BT,27.33,91.55,66.87,70,32,3.02,scattered clouds
339,Sistranda,NO,63.73,8.83,59.0,93,75,4.7,broken clouds
340,Markova,UA,48.68,24.41,64.17,85,0,3.4,clear sky
341,Sobolevo,RU,54.43,31.9,55.8,90,56,5.03,broken clouds
342,Filingue,NE,14.35,3.32,89.02,47,95,9.19,overcast clouds
343,Saint-Augustin,CA,51.23,-58.65,64.8,62,96,4.07,overcast clouds
344,Tura,IN,25.52,90.22,72.95,97,36,4.52,light rain
345,La Ronge,CA,55.1,-105.28,60.8,82,90,18.34,overcast clouds
346,Padang,ID,-0.95,100.35,77.88,78,100,3.22,light rain
347,Ocos,GT,14.51,-92.19,77.0,100,90,10.29,thunderstorm with heavy rain
348,Balasheyka,RU,53.28,48.09,51.71,91,2,6.29,clear sky
349,Tonekabon,IR,36.82,50.87,73.4,94,90,2.24,overcast clouds
350,Geraldton,AU,-28.77,114.6,59.0,87,90,1.12,overcast clouds
351,Cabo San Lucas,MX,22.89,-109.91,89.6,55,5,9.17,clear sky
352,Muzhi,RU,65.37,64.67,49.53,84,9,9.8,clear sky
353,Sarahan,IN,31.52,77.8,59.79,72,3,0.98,clear sky
354,Aquiraz,BR,-3.9,-38.39,80.6,69,12,16.11,few clouds
355,Cam Ranh,VN,11.92,109.16,82.4,69,40,2.24,scattered clouds
356,Kargasok,RU,59.06,80.86,50.99,96,62,6.06,broken clouds
357,Inhambane,MZ,-23.86,35.38,63.23,78,1,4.05,clear sky
358,San Cristobal,VE,7.77,-72.22,93.2,36,40,24.16,scattered clouds
359,Egvekinot,RU,66.32,-179.17,48.31,91,100,10.83,light rain
360,Axim,GH,4.87,-2.24,75.11,90,16,6.24,few clouds
361,Santa Isabel Do Rio Negro,BR,-0.41,-65.02,85.8,65,2,1.81,light rain
362,Sipe Sipe,BO,-17.45,-66.38,78.8,33,20,4.7,few clouds
363,Svetlyy,RU,54.67,20.13,69.8,88,75,8.95,broken clouds
364,Batagay,RU,67.63,134.63,35.91,84,83,2.39,broken clouds
