City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
457,Sirathu,IN,79.2,clear sky,25.65,81.32,Sandhya Sirathu
458,Bubaque,GW,80.62,broken clouds,11.28,-15.83,Casa Dora
462,Urambo,TZ,75.33,overcast clouds,-5.07,32.05,Fair Lodge
466,Lahaina,US,84.2,broken clouds,20.88,-156.68,Lahaina Shores Beach Resort
470,Takoradi,GH,75.09,few clouds,4.88,-1.76,Raybow International Hotel
476,Codajas,BR,92.73,clear sky,-3.84,-62.06,Hotel Tamires
477,Ono,JP,77.0,broken clouds,34.85,134.93,オーラ 小野店
478,Shenjiamen,CN,79.74,clear sky,29.96,122.3,Jinjiang Inn Zhoushan Putuo Shenjiamen
479,Palmer,US,87.01,scattered clouds,42.16,-72.33,Wedgewood Motel
480,Wajima,JP,76.5,overcast clouds,37.4,136.9,Wajiima Onsen Yashio
489,Milagres,BR,84.52,overcast clouds,-7.31,-38.95,Pousada Neves
491,Anaco,VE,81.91,light rain,9.44,-64.47,SAIVEN MALL (SAIVEN C.A.)
494,Mae Sai,TH,75.2,light rain,20.43,99.88,Piyaporn Hill Paradise Hotel
495,Tuy Hoa,VN,78.08,overcast clouds,13.08,109.3,CenDeluxe Hotel Tuy Hoa
498,Panacan,PH,80.74,broken clouds,9.25,118.41,Mom's Place Resort
499,Hasaki,JP,77.0,light intensity shower rain,35.73,140.83,Inubosaki Kanko Hotel
500,Barinitas,VE,76.3,moderate rain,8.76,-70.41,Hotel El Jardín
501,Piranhas,BR,75.56,broken clouds,-16.43,-51.82,Hotel Brasil
504,Hambantota,LK,78.8,scattered clouds,6.12,81.12,Bungalow 63
510,Algiers,DZ,80.6,overcast clouds,36.75,3.04,Sofitel Algiers Hamma Garden
512,Pangai,TO,77.99,few clouds,-19.8,-174.35,Ha'apai Beach Resort
516,Russell,US,89.6,broken clouds,32.35,-85.2,Macs
517,Warner Robins,US,87.8,few clouds,32.62,-83.6,Super 8 by Wyndham Warner Robins
518,Razole,IN,79.41,moderate rain,16.48,81.83,Sterling Palavelli Godavari - Resorts and Hotels
520,Sao Geraldo Do Araguaia,BR,90.9,broken clouds,-6.4,-48.55,Hotel Rio Araguaia
523,Grand Forks,US,84.2,few clouds,47.93,-97.03,TownHouse Hotel - Grand Forks
524,Yilan,TW,80.6,light intensity shower rain,24.76,121.75,Dar Chen Hotel
